Sigla	Codigo	Município	2010	2012	2014	2016	2018
BA	2918209	Jiquiriçá	7734	8698	7439	8718	7866
BA	2918308	Jitaúna	9015	10521	9070	9964	8792
BA	2918357	João Dourado	12342	13953	12650	14463	13359
BA	2918407	Juazeiro	101445	111495	113751	121937	121912
BA	2918456	Jucuruçu	5810	7039	5622	6961	5716
BA	2918506	Jussara	8355	9836	8855	10605	9060
BA	2918555	Jussari	3408	4267	3390	3940	3234
BA	2918605	Jussiape	5000	5546	4834	5547	4956
BA	2918704	Lafaiete Coutinho	2754	3025	2900	3373	3076
BA	2918753	Lagoa Real	7014	8140	7419	9041	7732
BA	2918803	Laje	13488	14924	13948	15672	14638
BA	2918902	Lajedão	2928	3901	3281	4455	3324
BA	2919009	Lajedinho	2345	2557	2359	2734	2486
BA	2919058	Lajedo do Tabocal	4352	4814	4253	5198	4574
BA	2919108	Lamarão	4685	5675	4870	6355	5369
BA	2919157	Lapão	14806	16807	15536	17093	16370
BA	2919207	Lauro de Freitas	80574	88805	91133	96770	104641
BA	2919306	Lençóis	4801	5713	4935	5831	5433
BA	2919405	Licínio de Almeida	6599	7838	6950	7956	7226
BA	2919504	Livramento de Nossa Senhora	23119	26747	23992	27562	25335
BA	2919553	Luís Eduardo Magalhães	20814	30262	30410	38170	41018
BA	2919603	Macajuba	6536	7686	6315	7464	6409
BA	2919702	Macarani	9643	10995	9326	10848	9337
BA	2919801	Macaúbas	22869	25778	23115	25865	23503
BA	2919900	Macururé	4800	5456	4789	5500	4738
BA	2919926	Madre de Deus	10706	12565	11286	12735	12722
BA	2919959	Maetinga	3859	5426	4252	5097	4239
BA	2920007	Maiquinique	4909	5891	5175	6367	5226
BA	2920106	Mairi	10123	11588	9847	11552	9965
BA	2920205	Malhada	8436	10326	9114	10855	9456
BA	2920304	Malhada de Pedras	5133	6068	5426	6578	5682
BA	2920403	Manoel Vitorino	7527	9302	8336	10625	9543
BA	2920452	Mansidão	5658	7725	5766	8460	6220
BA	2920502	Maracás	13312	15232	13824	15872	15004
BA	2920601	Maragogipe	23546	26600	26013	27980	25216
BA	2920700	Maraú	8284	9599	8333	10373	8941
BA	2920809	Marcionílio Souza	5230	5928	5183	6193	5415
BA	2920908	Mascote	6711	7532	6171	7471	6201
BA	2921005	Mata de São João	24465	28167	27095	30639	31360
BA	2921054	Matina	6132	7258	6359	7821	6824
BA	2921104	Medeiros Neto	12901	14690	13250	14755	13296
BA	2921203	Miguel Calmon	15531	16061	14744	16056	15159
BA	2921302	Milagres	6745	7297	6827	7639	6480
BA	2921401	Mirangaba	8044	9268	8539	9572	8905
BA	2921450	Mirante	5053	5833	5030	6073	5327
BA	2921500	Monte Santo	28186	30924	28981	32337	30187
BA	2921609	Morpará	5097	5961	5094	6201	5201
BA	2921708	Morro do Chapéu	17228	18732	17564	19468	18388
BA	2921807	Mortugaba	6323	7611	6628	7677	6752
BA	2921906	Mucugê	6383	7128	6539	7626	6875
BA	2922003	Mucuri	16879	20158	17956	21040	18443
BA	2922052	Mulungu do Morro	5950	6914	6618	7733	7861
BA	2922102	Mundo Novo	10893	12368	10578	12202	10806
BA	2922201	Muniz Ferreira	5405	6286	5521	6465	5893
BA	2922250	Muquém de São Francisco	5717	7331	6306	8125	6636
BA	2922300	Muritiba	16407	17814	15628	17066	17228
